rank_revised,rank_prior,rank_change_vs_prior,bucket,company,ticker,listing,domicile,region,layer,thesis_key,summary,tier,residual_alpha_score,residual_upside_score,residual_upside_label,crowding_penalty_score,bottleneck_closeness_score,focus_bonus_score,ai_n,bottleneck_n,centrality_n,hidden_n,catalyst_n,alpha_revision_note,trace,evidence_grade,tags,region_bucket,latest_price,latest_currency,market_cap_usd_b,ytd_return_pct,market_data_as_of,market_data_source,base_residual_alpha_score,price_rerating_penalty_score,ai2027_price_adjusted_score,ai2027_trend_bonus_score,ai2027_trend_tags,ai2027_trend_note
76,41,-35,Crowded / rerated benchmark,Flex,FLEX,NASDAQ: FLEX,Singapore,Non-US,Power / manufacturing,800V rack power for NVIDIA Rubin AI infrastructure,"800V rack power for NVIDIA Rubin AI infrastructure; bottleneck, direct-AI, near-term-catalyst, central-node.",Tier C,13.4,1,already rerated,5,3,3.5,1.0,1.0,0.8,0.6,1.0,"Genuinely new since yesterday's down-call: confirmed S&P 500 inclusion (effective Jun 22) is the terminal recognition event for an alpha list - passive/index ownership becomes mandatory, ending any residual under-owned character on top of a 128% YTD rerating. Today's -3.5% is post-announcement diges",0.7,A-,"bottleneck, direct-AI, near-term-catalyst, central-node",Non-US,152.16,USD,55.38,138.94,2026-06-23,https://finance.yahoo.com/quote/FLEX/,21.4,4.3,17.1,-3.7,power_grid,AI 2027/current overlay: power_grid; bonus -3.7 after cap/YTD discipline.
77,39,-38,Monitor / benchmark,Renesas Electronics,6723,TSE: 6723,Japan,Non-US,Embedded / power,Power and embedded control leverage,"Power and embedded control leverage; tight-supply, AI-adjacent, central-node.",Tier D,12.0,2,partially rerated,4,2,0.0,0.8,0.8,0.8,0.6,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"tight-supply, AI-adjacent, central-node",Non-US,4754.0,JPY,53.48,113.66,2026-06-23,https://finance.yahoo.com/quote/6723.T/,18.3,2.6,15.7,-3.7,power_grid,AI 2027/current overlay: power_grid; bonus -3.7 after cap/YTD discipline.
78,39,-39,Monitor / benchmark,Broadcom,AVGO,NASDAQ: AVGO,United States,US,Networking / custom silicon,Scale-up networking and custom AI ASICs,"Scale-up networking and custom AI ASICs; direct-AI, 2026-catalyst, central-node.",Tier D,11.7,1,already rerated,5,2,0.0,1.0,0.6,0.8,0.2,0.8,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"direct-AI, 2026-catalyst, central-node",US,384.13,USD,1830.00,10.5,2026-06-23,https://finance.yahoo.com/quote/AVGO/,1.7,0.0,1.7,10.0,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +10.0 after cap/YTD discipline."
79,38,-41,Crowded / rerated benchmark,Amphenol,APH,NYSE: APH,United States,US,Connectivity,Interconnect backbone for dense AI racks,"Interconnect backbone for dense AI racks; tight-supply, direct-AI, 2026-catalyst, hard-to-substitute.",Tier C,11.4,1,already rerated,5,3,0.0,1.0,0.8,1.0,0.4,0.8,"On a crowding-sensitive alpha list, an ~8.7% two-day rally with zero new fundamental evidence is pure post-rerating chase that further erodes residual alpha; the name is already bucketed 'Crowded / rerated benchmark' at a $182B cap, so it should slip below smaller, undiscovered bottleneck names.",0.6,B+,"tight-supply, direct-AI, 2026-catalyst, hard-to-substitute",US,161.37,USD,198.58,15.5,2026-06-23,https://finance.yahoo.com/quote/APH/,9.9,0.0,9.9,1.5,compute_factory,AI 2027/current overlay: compute_factory; bonus +1.5 after cap/YTD discipline.
80,37,-43,Monitor / benchmark,Super Micro Computer,SMCI,NASDAQ: SMCI,United States,US,Servers / racks,Direct AI server and rack integration,"Direct AI server and rack integration; tight-supply, direct-AI, central-node.",Tier D,11.0,1,already rerated,5,2,0.0,1.0,0.8,0.8,0.4,0.6,"On a passives/power-bottleneck lens SMCI was already peripheral, and the $7B dilutive raise plus cancellable $39B order book and Goldman's 27%-customer concentration warning directly attack the 'tight-supply, central-node' claim. Residual alpha vs passives names worsens.",0.5,B,"tight-supply, direct-AI, central-node",US,33.765,USD,22.12,9.06,2026-06-23,https://finance.yahoo.com/quote/SMCI/,1.0,0.0,1.0,10.0,"compute_factory,power_grid,security_sovereign","AI 2027/current overlay: compute_factory,power_grid,security_sovereign; bonus +10.0 after cap/YTD discipline."
81,40,-41,Monitor / benchmark,Arista Networks,ANET,NYSE: ANET,United States,US,Networking,AI cluster networking,"AI cluster networking; direct-AI, 2026-catalyst, central-node.",Tier D,10.6,1,already rerated,5,2,0.0,1.0,0.6,0.8,0.4,0.8,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"direct-AI, 2026-catalyst, central-node",US,164.28,USD,206.71,22.96,2026-06-23,https://finance.yahoo.com/quote/ANET/,3.6,0.0,3.6,7.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus +7.0 after cap/YTD discipline."
82,43,-39,Monitor / benchmark,Compeq Manufacturing,2313,TWSE: 2313,Taiwan,Non-US,PCB,AI server and networking PCB leverage,"AI server and networking PCB leverage; tight-supply, underfollowed, central-node.",Tier D,9.0,1,already rerated,5,3,3.5,0.6,0.8,0.8,0.8,0.6,"On a residual-alpha lens, a near limit-up +9.5% day driven by a satellite-news narrative and momentum flows - on top of +192% YTD and a price that has already consumed the freshly raised 285 median analyst target - compresses what little hidden upside remained. Yesterday's verdict was already down; ",0.5,B,"tight-supply, underfollowed, central-node",Non-US,243.0,TWD,9.83,156.87,2026-06-23,https://finance.yahoo.com/quote/2313.TW/,11.8,5.3,6.5,2.5,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus +2.5 after cap/YTD discipline."
83,42,-41,Monitor / benchmark,Micron Technology,MU,NASDAQ: MU,United States,US,Memory,HBM and memory leverage,"HBM and memory leverage; direct-AI, central-node.",Tier C,6.4,2,partially rerated,4,2,0.0,1.0,0.6,0.8,0.4,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"direct-AI, central-node",US,1073.88,USD,1217.00,240.46,2026-06-23,https://finance.yahoo.com/quote/MU/,21.9,9.5,12.4,-6.0,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus -6.0 after cap/YTD discipline."
84,44,-40,Crowded / rerated benchmark,Celestica,CLS,TSX/NYSE: CLS,Canada,Non-US,Networking / integration,Helios rack-scale AI and 1.6T switch exposure,"Helios rack-scale AI and 1.6T switch exposure; tight-supply, direct-AI, near-term-catalyst, central-node.",Tier D,6.1,1,already rerated,5,2,0.0,1.0,0.8,0.8,0.6,1.0,"This page parked CLS at 94 specifically for post-rerating crowding; a flow-driven ~24% drawdown off the June 2 peak with the Helios/1.6T thesis intact restores some residual alpha and asymmetry, warranting a modest move up from the bottom of the list.",0.7,A-,"tight-supply, direct-AI, near-term-catalyst, central-node",Non-US,356.115,USD,40.92,17.76,2026-06-23,https://finance.yahoo.com/quote/CLS/,3.3,0.0,3.3,2.8,compute_factory,AI 2027/current overlay: compute_factory; bonus +2.8 after cap/YTD discipline.
85,43,-42,Monitor / benchmark,EMCOR Group,EME,NYSE: EME,United States,US,Electrical / mechanical construction,Data-center MEP deployment leverage,"Data-center MEP deployment leverage; tight-supply, AI-adjacent.",Tier D,5.0,1,already rerated,5,1,0.0,0.8,0.8,0.6,0.6,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.3,C,"tight-supply, AI-adjacent",US,853.91,USD,38.14,33.71,2026-06-23,https://finance.yahoo.com/quote/EME/,0.7,0.0,0.7,4.3,power_grid,AI 2027/current overlay: power_grid; bonus +4.3 after cap/YTD discipline.
86,46,-40,Monitor / benchmark,Siemens Energy,ENR,XETRA: ENR,Germany,Non-US,Power generation / grid,Utility and power bottleneck exposure,"Utility and power bottleneck exposure; bottleneck, AI-adjacent, central-node.",Tier D,3.6,1,already rerated,5,2,0.0,0.8,1.0,0.8,0.6,0.6,"On this crowding-sensitive alpha list, a -5.9% flow-driven drop (Siemens AG block-sale overhang, activist noise, profit-taking) against freshly raised guidance and record AI-driven grid orders improves residual asymmetry; rank 97 in the monitor bucket now overstates the crowding discount.",0.4,C+,"bottleneck, AI-adjacent, central-node",Non-US,162.5,EUR,163.80,32.33,2026-06-23,https://finance.yahoo.com/quote/ENR.DE/,0.6,0.0,0.6,3.0,power_grid,AI 2027/current overlay: power_grid; bonus +3.0 after cap/YTD discipline.
87,41,-46,Monitor / benchmark,Astera Labs,ALAB,NASDAQ: ALAB,United States,US,AI connectivity,PCIe/CXL fabric leverage in AI racks,"PCIe/CXL fabric leverage in AI racks; direct-AI, 2026-catalyst, central-node.",Tier D,3.3,1,already rerated,5,3,0.0,1.0,0.6,0.8,0.6,0.8,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",0.4,C+,"direct-AI, 2026-catalyst, central-node",US,402.87,USD,68.85,124.37,2026-06-23,https://finance.yahoo.com/quote/ALAB/,7.3,3.3,4.0,-0.7,"compute_factory,packaging_memory_test","AI 2027/current overlay: compute_factory,packaging_memory_test; bonus -0.7 after cap/YTD discipline."
88,45,-43,Monitor / benchmark,Quanta Services,PWR,NYSE: PWR,United States,US,Electrical construction,Electrical transmission/substation buildout exposure,"Electrical transmission/substation buildout exposure; tight-supply, AI-adjacent, central-node.",Tier D,2.7,1,already rerated,5,1,0.0,0.8,0.8,0.8,0.4,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.3,C,"tight-supply, AI-adjacent, central-node",US,717.635,USD,107.79,63.22,2026-06-23,https://finance.yahoo.com/quote/PWR/,1.7,0.0,1.7,1.0,power_grid,AI 2027/current overlay: power_grid; bonus +1.0 after cap/YTD discipline.
89,42,-47,Crowded / rerated benchmark,Yageo,2327,TWSE: 2327,Taiwan,Non-US,Passives,"Resistors, current sense, MLCC and KO-CAP exposure","Resistors, current sense, MLCC and KO-CAP exposure; bottleneck, direct-AI, underfollowed, 2026-catalyst, central-node.",Tier C,2.0,1,already rerated,5,5,5.0,1.0,1.0,0.8,0.8,0.8,"Crowding-sensitive residual-alpha lens: no new fundamentals since June 9, yet another +23% run to +323% YTD makes it a mega-cap consensus name. The MLCC/pricing-power story is real but fully owned; residual alpha keeps compressing from the already-crowded benchmark slot. Thesis-driven down.",1.0,A,"bottleneck, direct-AI, underfollowed, 2026-catalyst, central-node",Non-US,1020.0,TWD,69.28,323.24,2026-06-23,https://finance.yahoo.com/quote/2327.TW/,31.4,13.7,17.7,-15.7,power_grid,AI 2027/current overlay: power_grid; bonus -15.7 after cap/YTD discipline.
90,44,-46,Monitor / benchmark,Dell Technologies,DELL,NYSE: DELL,United States,US,Servers,AI server beneficiary,AI server beneficiary; AI-adjacent.,Tier C,0.8,2,partially rerated,4,2,0.0,0.8,0.6,0.6,0.2,0.6,"Yesterday's downgrade was purely rerating discipline; today's -7.5% flow-driven washout (sector de-grossing plus Silver Lake supply overhang, ~20% off the post-earnings high in a week) with the $51.3B AI backlog thesis fully intact partially restores asymmetry. Only a modest move up: at $241B cap an",0.4,C+,AI-adjacent,US,433.465,USD,280.68,239.17,2026-06-23,https://finance.yahoo.com/quote/DELL/,15.3,9.5,5.8,-5.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus -5.0 after cap/YTD discipline."
91,45,-46,Monitor / benchmark,Ibiden,4062,TSE: 4062,Japan,Non-US,Substrates / packaging,High-end package substrate leverage,"High-end package substrate leverage; tight-supply, AI-adjacent, 2026-catalyst, central-node.",Tier D,0.2,1,already rerated,5,3,3.5,0.8,0.8,0.8,0.6,0.8,"On the residual-alpha-vs-passives lens, a +31% melt-up to an ATH on no new fundamental evidence (just sell-side upgrades) on top of +240% YTD and a $46B cap further compresses hidden/under-owned upside. Crowding penalty deepens beyond the June 9 down call.",0.5,B,"tight-supply, AI-adjacent, 2026-catalyst, central-node",Non-US,24385.0,JPY,45.75,240.67,2026-06-23,https://finance.yahoo.com/quote/4062.T/,12.9,9.5,3.4,-3.2,"packaging_memory_test,power_grid","AI 2027/current overlay: packaging_memory_test,power_grid; bonus -3.2 after cap/YTD discipline."
92,46,-46,Monitor / benchmark,Comfort Systems USA,FIX,NYSE: FIX,United States,US,Mechanical / HVAC,Data-center mechanical and cooling construction leverage,"Data-center mechanical and cooling construction leverage; tight-supply, AI-adjacent.",Tier D,0.0,1,already rerated,5,1,0.0,0.8,0.8,0.6,0.6,0.6,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.3,C,"tight-supply, AI-adjacent",US,1966.05,USD,69.32,95.89,2026-06-23,https://finance.yahoo.com/quote/FIX/,0.0,1.4,0.0,-0.7,power_grid,AI 2027/current overlay: power_grid; bonus -0.7 after cap/YTD discipline.
93,49,-44,Monitor / benchmark,Marvell Technology,MRVL,NASDAQ: MRVL,United States,US,Networking / custom silicon,AI interconnect and custom silicon,"AI interconnect and custom silicon; direct-AI, 2026-catalyst, central-node.",Tier D,0.0,1,already rerated,5,2,0.0,1.0,0.6,0.8,0.4,0.8,"Useful AI exposure, but farther from the passive/power bottleneck stack.",0.4,C+,"direct-AI, 2026-catalyst, central-node",US,281.63,USD,247.69,215.06,2026-06-23,https://finance.yahoo.com/quote/MRVL/,2.4,8.3,0.0,-0.5,"compute_factory,packaging_memory_test,power_grid","AI 2027/current overlay: compute_factory,packaging_memory_test,power_grid; bonus -0.5 after cap/YTD discipline."
94,47,-47,Crowded / rerated benchmark,Bloom Energy,BE,NYSE: BE,United States,US,Onsite power,Onsite generation as grid bottleneck workaround,"Onsite generation as grid bottleneck workaround; bottleneck, AI-adjacent, underfollowed, central-node.",Tier D,0.0,1,already rerated,5,1,0.0,0.8,1.0,0.8,0.8,0.6,"Strategically important, but the stock already rerated; no longer top residual alpha.",0.3,C,"bottleneck, AI-adjacent, underfollowed, central-node",US,327.32,USD,93.37,231.66,2026-06-23,https://finance.yahoo.com/quote/BE/,8.7,9.1,0.0,-7.7,power_grid,AI 2027/current overlay: power_grid; bonus -7.7 after cap/YTD discipline.
95,48,-47,Monitor / benchmark,Western Digital,WDC,NASDAQ: WDC,United States,US,Storage,Data-center storage capacity proxy,Data-center storage capacity proxy; .,Tier D,0.0,2,partially rerated,4,2,0.0,0.6,0.4,0.6,0.6,0.4,"Residual-alpha lens: sold-out 2026 HDD capacity, multi-year LTAs to 2028 and record margins are a real fundamental step-change, not just tape. Even as a 'monitor/benchmark' name farther from the passive/power core, the supply-tightness signal merits an up nudge on news, separate from the crowding/YT",0.2,C,,US,671.345,USD,232.35,257.67,2026-06-23,https://finance.yahoo.com/quote/WDC/,13.8,10.4,3.4,-17.0,power_grid,AI 2027/current overlay: power_grid; bonus -17.0 after cap/YTD discipline.
96,47,-49,Monitor / benchmark,Zhen Ding Technology,4958,TWSE: 4958,Taiwan,Non-US,PCB / interconnect,Advanced PCB/interconnect leverage,"Advanced PCB/interconnect leverage; tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node.",Tier D,0.0,1,already rerated,5,3,3.5,0.8,0.8,0.8,0.8,0.8,"On a residual-alpha lens, another +6.45% pop to +287.9% YTD on already-public May revenue news and a minor NT$1.05B equipment buy is rerating chase, not new mispricing; the crowding penalty yesterday's verdict flagged got worse, not better.",0.5,B,"tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node",Non-US,587.0,TWD,21.22,317.79,2026-06-23,https://finance.yahoo.com/quote/4958.TW/,16.4,13.4,3.0,-11.5,"compute_factory,packaging_memory_test","AI 2027/current overlay: compute_factory,packaging_memory_test; bonus -11.5 after cap/YTD discipline."
97,49,-48,Monitor / benchmark,Unimicron,3037,TWSE: 3037,Taiwan,Non-US,PCB / substrates,High-layer boards and substrate exposure,"High-layer boards and substrate exposure; tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node.",Tier D,0.0,1,already rerated,5,3,3.5,0.8,0.8,0.8,0.8,0.8,"On a crowding-sensitive residual-alpha list, another +6.4% flow-driven pop with zero new fundamental evidence on top of +342% YTD further erodes the hidden/under-owned premise; the stock now trades at ~2x Morgan Stanley's bullish NT$500 target, so the rerating has outrun even the bull-case sell side",0.5,B,"tight-supply, AI-adjacent, underfollowed, 2026-catalyst, central-node",Non-US,974.0,TWD,44.87,344.75,2026-06-23,https://finance.yahoo.com/quote/3037.TW/,16.4,14.7,1.7,-16.7,packaging_memory_test,AI 2027/current overlay: packaging_memory_test; bonus -16.7 after cap/YTD discipline.
98,50,-48,Crowded / rerated benchmark,TAIYO YUDEN,6976,TSE: 6976,Japan,Non-US,Passives,Inductor and MLCC leverage with rising AI server density,"Inductor and MLCC leverage with rising AI server density; bottleneck, AI-adjacent, 2026-catalyst, central-node.",Tier C,0.0,1,already rerated,5,5,5.0,0.8,1.0,0.8,0.6,0.8,"On a crowding-sensitive alpha list, a +20% single-day spike with no identifiable new fundamental news - on top of +389% YTD and a price now ~2.5x above freshly hiked sell-side targets - is a textbook post-rerating chase; residual alpha shrinks further even though the bottleneck thesis is intact.",1.0,A,"bottleneck, AI-adjacent, 2026-catalyst, central-node",Non-US,16930.0,JPY,13.94,360.93,2026-06-23,https://finance.yahoo.com/quote/6976.T/,29.5,15.5,14.0,-16.0,compute_factory,AI 2027/current overlay: compute_factory; bonus -16.0 after cap/YTD discipline.
99,48,-51,Monitor / benchmark,Samwha Capacitor,001820,KRX: 001820,South Korea,Non-US,Passives,MLCC and passive exposure,"MLCC and passive exposure; tight-supply, AI-adjacent, underfollowed, central-node.",Tier C,0.0,1,already rerated,5,5,5.0,0.8,0.8,0.8,0.8,0.6,"Balanced AI supply-chain exposure, but not as mispriced as the top residual-alpha names.",1.0,A,"tight-supply, AI-adjacent, underfollowed, central-node",Non-US,142000.0,KRW,1.22,370.98,2026-06-23,https://finance.yahoo.com/quote/001820.KS/,27.1,16.0,11.1,-19.0,,AI 2027/current overlay: no direct factor; bonus -19.0 after cap/YTD discipline.
100,51,-49,Crowded / rerated benchmark,Samsung Electro-Mechanics,009150,KRX: 009150,South Korea,Non-US,Passives,High-capacitance MLCC for AI server power modules,"High-capacitance MLCC for AI server power modules; bottleneck, direct-AI, 2026-catalyst, central-node.",Tier C,0.0,1,already rerated,5,5,5.0,1.0,1.0,0.8,0.6,0.8,"On a crowding-sensitive alpha page, today's +18.4% pop was triggered by a sell-side target hike (iM Securities to KRW 2.3M), not new fundamental evidence - a textbook post-rerating chase signal on top of +630% YTD that further erodes residual alpha. Yesterday's 'down' verdict is reinforced, not mere",1.0,A,"bottleneck, direct-AI, 2026-catalyst, central-node",Non-US,1990000.0,KRW,115.28,637.04,2026-06-23,https://finance.yahoo.com/quote/009150.KS/,30.6,29.4,1.2,-13.0,"compute_factory,power_grid","AI 2027/current overlay: compute_factory,power_grid; bonus -13.0 after cap/YTD discipline."
